m,Objective Value,Selected Portfolio Stocks,Selected Portfolio Weights,In-Sample Tracking Error,Out-of-Sample Tracking Error
5,45.54781108888081,"Index(['GILD', 'HON', 'INTU', 'NXPI', 'PEP'], dtype='object')","{'GILD': 0.09434515074473429, 'HON': 0.07184190870549892, 'INTU': 0.34453217056524205, 'NXPI': 0.2641794953430107, 'PEP': 0.2251012746415141}",1.2792383609662386,1.29973847356623
10,50.88160556714872,"Index(['AMZN', 'AMAT', 'CMCSA', 'FANG', 'GILD', 'HON', 'IDXX', 'NXPI', 'PANW',
       'PEP'],
      dtype='object')","{'AMZN': 0.24841665066396973, 'AMAT': 0.11551134029060038, 'CMCSA': 0.12003340649433858, 'FANG': 0.01882773698121859, 'GILD': 0.0, 'HON': 0.07385630636396255, 'IDXX': 0.07411755064312861, 'NXPI': 0.11017310843685399, 'PANW': 0.07024848699003296, 'PEP': 0.16881541313589457}",0.8787397174581721,0.8376263276389777
20,58.19616502621209,"Index(['AMZN', 'ARM', 'AZN', 'ADP', 'BKR', 'CDNS', 'CHTR', 'DXCM', 'EA', 'EXC',
       'GILD', 'HON', 'IDXX', 'LRCX', 'MAR', 'MRNA', 'MDB', 'NXPI', 'PANW',
       'PEP'],
      dtype='object')","{'AMZN': 0.21629726525060136, 'ARM': 0.009399995670467245, 'AZN': 0.003941868674612936, 'ADP': 0.013410161888350045, 'BKR': 0.003131500639928609, 'CDNS': 0.11079158794651191, 'CHTR': 0.05964906657602884, 'DXCM': 0.0, 'EA': 0.06751980754663042, 'EXC': 0.015404905882458181, 'GILD': 0.0, 'HON': 0.057529605775361, 'IDXX': 0.06881577603953452, 'LRCX': 0.06370135423706356, 'MAR': 0.0, 'MRNA': 0.015774223168054775, 'MDB': 0.011954260531125343, 'NXPI': 0.10569306214770835, 'PANW': 0.04578912038298229, 'PEP': 0.13119643764258054}",0.8116609709853568,0.7620038637081672
30,64.40651396842162,"Index(['AMZN', 'ARM', 'AZN', 'BKR', 'BKNG', 'CDNS', 'CHTR', 'CSCO', 'CEG',
       'DDOG', 'DXCM', 'DLTR', 'EA', 'EXC', 'GEHC', 'GILD', 'HON', 'IDXX',
       'LRCX', 'LULU', 'MRNA', 'NFLX', 'NXPI', 'ORLY', 'ODFL', 'PANW', 'PAYX',
       'PDD', 'PEP', 'ROST'],
      dtype='object')","{'AMZN': 0.1681753401169389, 'ARM': 0.010836260549439656, 'AZN': 0.0, 'BKR': 0.0, 'BKNG': 0.06480371984793479, 'CDNS': 0.10972562339417045, 'CHTR': 0.03312708857120741, 'CSCO': 0.03322015839886978, 'CEG': 0.014409827486127947, 'DDOG': 0.007701628443152061, 'DXCM': 0.011105611971250323, 'DLTR': 0.0, 'EA': 0.05149164489355621, 'EXC': 0.00491000913774829, 'GEHC': 0.01291145004140776, 'GILD': 0.014784261386595304, 'HON': 0.029924781928428453, 'IDXX': 0.04671563969553044, 'LRCX': 0.07587413298010086, 'LULU': 0.011674901038422633, 'MRNA': 0.010084992927788184, 'NFLX': 0.05031916780243037, 'NXPI': 0.05601806750800871, 'ORLY': 0.0, 'ODFL': 0.00743550298741775, 'PANW': 0.029223094471986077, 'PAYX': 0.025909201518265867, 'PDD': 0.021106689060987196, 'PEP': 0.08967066771195938, 'ROST': 0.008840536130275283}",0.7166063656460703,0.6301834938980255
40,70.04443440703636,"Index(['AEP', 'ARM', 'AZN', 'ADP', 'BKR', 'BIIB', 'CDNS', 'CDW', 'CHTR',
       'CTAS', 'CTSH', 'CEG', 'COST', 'DLTR', 'DASH', 'EA', 'GEHC', 'GILD',
       'HON', 'ILMN', 'ISRG', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MRNA',
       'MDB', 'NFLX', 'NXPI', 'ORLY', 'ODFL', 'PANW', 'PYPL', 'PDD', 'PEP',
       'REGN', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'AEP': 0.006369464846268926, 'ARM': 0.004936245194080797, 'AZN': 0.006920053230830859, 'ADP': 0.0, 'BKR': 0.0, 'BIIB': 0.00021336168337906044, 'CDNS': 0.1050028642608724, 'CDW': 0.0, 'CHTR': 0.0, 'CTAS': 0.02620555109868935, 'CTSH': 0.0, 'CEG': 0.02986779401120298, 'COST': 0.09577752429202287, 'DLTR': 0.0, 'DASH': 0.012495691017759516, 'EA': 0.02576762881555907, 'GEHC': 0.0, 'GILD': 0.0, 'HON': 0.0, 'ILMN': 0.009421532818308329, 'ISRG': 0.033934005424917695, 'LRCX': 0.0755001164435259, 'LULU': 0.0, 'MAR': 0.007656822922135226, 'MELI': 0.0039676921547819755, 'META': 0.1538857936697419, 'MRNA': 0.010837060576864144, 'MDB': 0.029497715530836487, 'NFLX': 0.052323899408651016, 'NXPI': 0.050421472514530705, 'ORLY': 0.0, 'ODFL': 0.00305584965301417, 'PANW': 0.029930088146511755, 'PYPL': 0.0446650249091104, 'PDD': 0.017172815447316372, 'PEP': 0.09018419256785606, 'REGN': 0.028196992673045585, 'ROST': 0.0, 'SBUX': 0.038758217839958385, 'SMCI': 0.00703452884822799}",0.6078341088146215,0.6469540574816308
50,75.16907458288873,"Index(['AMZN', 'AMGN', 'AAPL', 'ARM', 'AZN', 'ADSK', 'ADP', 'BKR', 'BIIB',
       'BKNG', 'CDNS', 'CDW', 'CTAS', 'CSCO', 'CTSH', 'CMCSA', 'CEG', 'CSGP',
       'COST', 'CSX', 'DDOG', 'DXCM', 'DLTR', 'DASH', 'EA', 'EXC', 'FAST',
       'FTNT', 'GEHC', 'ILMN', 'INTC', 'ISRG', 'LRCX', 'LIN', 'LULU', 'MELI',
       'MRNA', 'NFLX', 'NXPI', 'ORLY', 'ODFL', 'PCAR', 'PANW', 'PYPL', 'PDD',
       'PEP', 'REGN', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'AMZN': 0.1249335194281508, 'AMGN': 0.031739064249799935, 'AAPL': 0.22490223959977754, 'ARM': 0.0, 'AZN': 0.0, 'ADSK': 0.02202289050869478, 'ADP': 0.0, 'BKR': 0.0, 'BIIB': 0.03368553444397881, 'BKNG': 0.0317183209907658, 'CDNS': 0.08356081504338053, 'CDW': 0.012627910242869366, 'CTAS': 0.0, 'CSCO': 0.0066511882406332015, 'CTSH': 0.017713879365675655, 'CMCSA': 0.03447391647341987, 'CEG': 0.006620613451816562, 'CSGP': 0.0, 'COST': 0.001589533504304483, 'CSX': 0.0, 'DDOG': 0.01946092400257571, 'DXCM': 0.0, 'DLTR': 0.0, 'DASH': 0.013525089755108235, 'EA': 0.02132460214644507, 'EXC': 0.0, 'FAST': 0.016406386857027156, 'FTNT': 0.004502096445030889, 'GEHC': 0.0, 'ILMN': 0.0, 'INTC': 0.00153501906517844, 'ISRG': 0.0395986818727749, 'LRCX': 0.046564851456722574, 'LIN': 0.006828990733478414, 'LULU': 0.004027395406126962, 'MELI': 0.00926590793921187, 'MRNA': 0.001704870654241249, 'NFLX': 0.03530437261360825, 'NXPI': 0.034915846598431825, 'ORLY': 0.0, 'ODFL': 0.0, 'PCAR': 0.0, 'PANW': 0.022009323742016196, 'PYPL': 0.020863746207125815, 'PDD': 0.02085973220997441, 'PEP': 0.02387634489447703, 'REGN': 0.011235498527658795, 'ROST': 0.0, 'SBUX': 0.0027439388272175107, 'SMCI': 0.011206954502301528}",0.4843227044837121,0.6131939241714067
60,79.6355376146956,"Index(['ABNB', 'GOOGL', 'AEP', 'AMGN', 'ANSS', 'AAPL', 'ARM', 'AZN', 'TEAM',
       'ADSK', 'ADP', 'BKR', 'BIIB', 'BKNG', 'CDNS', 'CDW', 'CTAS', 'CSCO',
       'CTSH', 'CMCSA', 'CEG', 'CSGP', 'COST', 'CRWD', 'CSX', 'DXCM', 'DLTR',
       'DASH', 'EA', 'FAST', 'FTNT', 'GEHC', 'GILD', 'HON', 'IDXX', 'ILMN',
       'INTC', 'INTU', 'ISRG', 'KDP', 'LRCX', 'LIN', 'LULU', 'MAR', 'MELI',
       'MSFT', 'MRNA', 'MDB', 'NFLX', 'NXPI', 'ORLY', 'ODFL', 'PCAR', 'PYPL',
       'PDD', 'PEP', 'REGN', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'ABNB': 0.0027886899255836262, 'GOOGL': 0.10242720597392249, 'AEP': 0.0, 'AMGN': 0.0076460253706992385, 'ANSS': 0.01168906988627728, 'AAPL': 0.1708245126750489, 'ARM': 0.0033510097973442968, 'AZN': 0.0050969547762385855, 'TEAM': 0.01139556565211958, 'ADSK': 0.008227785062486512, 'ADP': 0.0, 'BKR': 0.0, 'BIIB': 0.011549002030038388, 'BKNG': 0.017275932217799453, 'CDNS': 0.06976491342923503, 'CDW': 0.0, 'CTAS': 0.0, 'CSCO': 0.018112211709159127, 'CTSH': 0.0, 'CMCSA': 0.019340524068770452, 'CEG': 0.019203396727332844, 'CSGP': 0.0, 'COST': 0.021747473560614437, 'CRWD': 0.014293686259616727, 'CSX': 0.0, 'DXCM': 0.0, 'DLTR': 0.0, 'DASH': 0.01678542046366246, 'EA': 0.0031456817363113734, 'FAST': 0.008476918371787882, 'FTNT': 0.0, 'GEHC': 0.008112045795924316, 'GILD': 0.0392185619587894, 'HON': 0.011976937003032739, 'IDXX': 0.005000781543746676, 'ILMN': 0.0, 'INTC': 0.012146441042636355, 'INTU': 0.0, 'ISRG': 0.019996668341643417, 'KDP': 0.0, 'LRCX': 0.06048863439505823, 'LIN': 0.0, 'LULU': 0.011835984061964245, 'MAR': 0.0, 'MELI': 0.007830457039662958, 'MSFT': 0.15857848145075928, 'MRNA': 0.0, 'MDB': 0.006032625032989339, 'NFLX': 0.01434275766959455, 'NXPI': 0.01964229762742665, 'ORLY': 0.0, 'ODFL': 0.016139745779168747, 'PCAR': 0.0, 'PYPL': 0.01833206418699106, 'PDD': 0.015446534923815857, 'PEP': 0.01435996476541205, 'REGN': 0.0, 'ROST': 0.008170813650757627, 'SBUX': 0.0, 'SMCI': 0.009206224036577703}",0.3747498332523935,0.5474114886540891
70,83.50976378035385,"Index(['ADBE', 'ABNB', 'GOOGL', 'AMZN', 'AMGN', 'ANSS', 'AAPL', 'ARM', 'AZN',
       'TEAM', 'ADSK', 'ADP', 'BKR', 'BIIB', 'BKNG', 'CDW', 'CTAS', 'CSCO',
       'CCEP', 'CTSH', 'CMCSA', 'CEG', 'CPRT', 'CSGP', 'COST', 'CRWD', 'CSX',
       'DXCM', 'DLTR', 'DASH', 'EA', 'EXC', 'FAST', 'FTNT', 'GEHC', 'GILD',
       'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC',
       'LIN', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MDB',
       'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'ODFL', 'PCAR', 'PANW', 'PYPL',
       'PDD', 'PEP', 'REGN', 'ROP', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'ADBE': 0.033940384212578896, 'ABNB': 0.002614947958245961, 'GOOGL': 0.07523948099012823, 'AMZN': 0.05965121640846417, 'AMGN': 0.004079297485738908, 'ANSS': 0.0, 'AAPL': 0.13752167763587997, 'ARM': 0.004525597862780681, 'AZN': 0.0, 'TEAM': 0.008291141046636894, 'ADSK': 0.01062735521794968, 'ADP': 0.0, 'BKR': 0.0, 'BIIB': 0.02508397017655244, 'BKNG': 0.005006270815896654, 'CDW': 0.0, 'CTAS': 0.012373103185481868, 'CSCO': 0.011741074296041853, 'CCEP': 0.009268783224187038, 'CTSH': 0.0008788762739206774, 'CMCSA': 0.020380087190430676, 'CEG': 0.004143384824541393, 'CPRT': 0.0034461431586537646, 'CSGP': 0.0, 'COST': 0.039283102690100866, 'CRWD': 0.007412074947266187, 'CSX': 0.0, 'DXCM': 0.0020382662233673675, 'DLTR': 0.016909968549957504, 'DASH': 0.0018818142347412214, 'EA': 0.006574858638489461, 'EXC': 0.000891747218439348, 'FAST': 0.0, 'FTNT': 0.0071665680053251786, 'GEHC': 0.006917635532963862, 'GILD': 0.006093957319613619, 'HON': 0.01871369826616645, 'IDXX': 0.0, 'ILMN': 0.0023381798887038884, 'INTC': 0.011888113842059799, 'INTU': 0.012348453396288582, 'ISRG': 0.012868302913372317, 'KDP': 0.0, 'KLAC': 0.031263396166786014, 'KHC': 0.009027001708476807, 'LIN': 0.0, 'LULU': 0.00045991800386411456, 'MAR': 0.0, 'MELI': 0.009858801204252775, 'META': 0.03317293227150683, 'MU': 0.0020127117527981545, 'MSFT': 0.10021930840834216, 'MRNA': 0.006718196219949134, 'MDB': 0.001923845883232665, 'MNST': 0.004437001033528015, 'NFLX': 0.021310984863852692, 'NVDA': 0.07023740440946523, 'NXPI': 0.041355249883022575, 'ORLY': 0.0033652959446793603, 'ODFL': 0.0002826252336934467, 'PCAR': 0.004505293109231067, 'PANW': 0.008910857491563869, 'PYPL': 0.011933613670768003, 'PDD': 0.0068443845702490635, 'PEP': 0.03290370451014527, 'REGN': 0.0, 'ROP': 0.0, 'ROST': 0.003948047000973283, 'SBUX': 0.010276682532198798, 'SMCI': 0.0028932104964553575}",0.19701160334512324,0.3572122151398074
80,86.60468312988645,"Index(['ADBE', 'AMD', 'ABNB', 'GOOGL', 'AMZN', 'AEP', 'AMGN', 'ANSS', 'AAPL',
       'ARM', 'AZN', 'TEAM', 'ADSK', 'ADP', 'BKR', 'BIIB', 'BKNG', 'AVGO',
       'CDNS', 'CDW', 'CHTR', 'CTAS', 'CSCO', 'CCEP', 'CTSH', 'CMCSA', 'CEG',
       'CPRT', 'CSGP', 'COST', 'CRWD', 'CSX', 'DDOG', 'DXCM', 'FANG', 'DLTR',
       'DASH', 'EA', 'EXC', 'FAST', 'FTNT', 'GEHC', 'GILD', 'GFS', 'HON',
       'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LIN',
       'LULU', 'MAR', 'MRVL', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MDLZ',
       'MDB', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'ODFL', 'PCAR', 'PANW',
       'PYPL', 'PDD', 'QCOM', 'REGN', 'ROP', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'ADBE': 0.013061441594949428, 'AMD': 0.010672417520771455, 'ABNB': 0.0025960945405637554, 'GOOGL': 0.06769633405270048, 'AMZN': 0.06806049357696253, 'AEP': 0.0, 'AMGN': 0.014146647735921709, 'ANSS': 0.00038342539398084205, 'AAPL': 0.1379884732885605, 'ARM': 0.0, 'AZN': 0.00525739620122348, 'TEAM': 0.00759332794172244, 'ADSK': 0.006243636000479442, 'ADP': 0.0, 'BKR': 0.0007928134521550327, 'BIIB': 0.01587662958967307, 'BKNG': 0.007430717051625784, 'AVGO': 0.031952081404768996, 'CDNS': 0.022725795736738916, 'CDW': 0.007891756417072725, 'CHTR': 0.0170993672647815, 'CTAS': 0.004766641346552511, 'CSCO': 0.004970373230620923, 'CCEP': 0.002109342921975757, 'CTSH': 0.0, 'CMCSA': 0.01057919271855085, 'CEG': 0.013037239165374127, 'CPRT': 0.0, 'CSGP': 0.0019964324672692127, 'COST': 0.02341506735676007, 'CRWD': 0.0, 'CSX': 0.009085750774666489, 'DDOG': 0.007751354289529368, 'DXCM': 0.007692240814562031, 'FANG': 0.0, 'DLTR': 0.0077658723304355045, 'DASH': 0.004310816346015882, 'EA': 0.01578872016375024, 'EXC': 0.002194366759909066, 'FAST': 0.0, 'FTNT': 0.012944299727708055, 'GEHC': 0.0, 'GILD': 0.0103836803030353, 'GFS': 0.013830603838100012, 'HON': 0.013544611488626696, 'IDXX': 0.0, 'ILMN': 0.0, 'INTC': 0.0035277618465021808, 'INTU': 0.005773121448666589, 'ISRG': 0.0058133579706363125, 'KDP': 0.005338739023732089, 'KLAC': 0.011417713369628865, 'KHC': 0.00952062905360866, 'LIN': 0.0, 'LULU': 0.005604402537258193, 'MAR': 0.0, 'MRVL': 0.0, 'MELI': 0.012028130257232374, 'META': 0.034262476997827675, 'MU': 0.0006065454141707516, 'MSFT': 0.10061831225341897, 'MRNA': 0.006356177268686091, 'MDLZ': 0.022566456984643785, 'MDB': 0.0, 'MNST': 0.015980493408649134, 'NFLX': 0.013266711078396005, 'NVDA': 0.059321671880947655, 'NXPI': 0.024571235435370008, 'ORLY': 0.0, 'ODFL': 0.0, 'PCAR': 0.002924643560981696, 'PANW': 0.010573103608102345, 'PYPL': 0.014927914292629183, 'PDD': 0.005697647393972371, 'QCOM': 0.018147295868809102, 'REGN': 0.0032286820297552678, 'ROP': 0.0, 'ROST': 0.0037786778099859887, 'SBUX': 9.477655715640572e-05, 'SMCI': 0.0004178678411383838}",0.16489935085783242,0.3134316106752627
88,88.0,"Index(['ADBE', 'AMD', 'ABNB', 'GOOGL', 'AMZN', 'AEP', 'AMGN', 'ADI', 'ANSS',
       'AAPL', 'AMAT', 'ARM', 'ASML', 'AZN', 'TEAM', 'ADSK', 'ADP', 'BKR',
       'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CTAS', 'CSCO', 'CCEP',
       'CTSH', 'CMCSA', 'CEG', 'CPRT', 'CSGP', 'COST', 'CRWD', 'CSX', 'DDOG',
       'DXCM', 'FANG', 'DLTR', 'DASH', 'EA', 'EXC', 'FAST', 'FTNT', 'GEHC',
       'GILD', 'GFS', 'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP',
       'KLAC', 'KHC', 'LRCX', 'LIN', 'LULU', 'MAR', 'MRVL', 'MELI', 'META',
       'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MDB', 'MNST', 'NFLX', 'NVDA',
       'NXPI', 'ORLY', 'ODFL', 'ON', 'PCAR', 'PANW', 'PAYX', 'PYPL', 'PDD',
       'PEP', 'QCOM', 'REGN', 'ROP', 'ROST', 'SBUX', 'SMCI'],
      dtype='object')","{'ADBE': 0.015556598393947425, 'AMD': 0.010519768346778062, 'ABNB': 0.0008159574522969796, 'GOOGL': 0.0735291463139125, 'AMZN': 0.06305935249547802, 'AEP': 0.0, 'AMGN': 0.009621674397441327, 'ADI': 0.010411306948713978, 'ANSS': 0.0, 'AAPL': 0.130615144158594, 'AMAT': 0.003808309278912486, 'ARM': 0.0, 'ASML': 0.005935871555581664, 'AZN': 0.005820040597153584, 'TEAM': 0.004647643805994732, 'ADSK': 0.007776576725926322, 'ADP': 0.0, 'BKR': 0.0, 'BIIB': 0.01690818174670609, 'BKNG': 0.007515828419559136, 'AVGO': 0.03074866150104374, 'CDNS': 0.02549666424857102, 'CDW': 0.010123630626938511, 'CHTR': 0.011610204998435802, 'CTAS': 0.0, 'CSCO': 0.0065941439031829766, 'CCEP': 0.00011975008147383217, 'CTSH': 0.0, 'CMCSA': 0.01515780355120679, 'CEG': 0.012757700973951987, 'CPRT': 0.0, 'CSGP': 0.006603200617089129, 'COST': 0.027738222778545884, 'CRWD': 0.0, 'CSX': 0.00797361444283331, 'DDOG': 0.004109779213617808, 'DXCM': 0.0071729243404483846, 'FANG': 0.0, 'DLTR': 0.008398570045046232, 'DASH': 0.004844338389533616, 'EA': 0.01129196190972485, 'EXC': 0.0, 'FAST': 0.0, 'FTNT': 0.010519967730631121, 'GEHC': 0.0, 'GILD': 0.00931516924430603, 'GFS': 0.012945154209399812, 'HON': 0.013485608904272191, 'IDXX': 0.0, 'ILMN': 0.000945683685859496, 'INTC': 0.002974596612493535, 'INTU': 0.0048617225107386915, 'ISRG': 0.010959465190486002, 'KDP': 0.0019302336368645923, 'KLAC': 0.0, 'KHC': 0.012564881726527416, 'LRCX': 0.0028249975708354636, 'LIN': 0.0, 'LULU': 0.008073952258158722, 'MAR': 0.0, 'MRVL': 0.0, 'MELI': 0.012848324702867559, 'META': 0.03089410770793261, 'MCHP': 0.0, 'MU': 0.0, 'MSFT': 0.10429680306719798, 'MRNA': 0.006040354542829618, 'MDLZ': 0.014093081903760093, 'MDB': 0.001090644746794467, 'MNST': 0.006271422332404649, 'NFLX': 0.013731704962817727, 'NVDA': 0.05657180141275711, 'NXPI': 0.0053926303710760655, 'ORLY': 0.0, 'ODFL': 0.0, 'ON': 0.012910458754103517, 'PCAR': 0.0, 'PANW': 0.013064361031310435, 'PAYX': 0.0, 'PYPL': 0.01686980971120391, 'PDD': 0.007206929034140523, 'PEP': 0.016088920407301165, 'QCOM': 0.01751590947416171, 'REGN': 0.004247069091418126, 'ROP': 0.0, 'ROST': 0.009760745925465, 'SBUX': 0.0024209152812446726, 'SMCI': 0.0}",0.15846565486422415,0.31993668466099995
